Date,Lane,Lane Name,Direction,Direction Name,Speed (mph),Headway (s),Gap (s),Flags,Flag Text
2018-02-02 17:03:42.090,2,NE_OS,1,NorthEast,22.991,1.995,0.93,5,Friday
2018-02-02 17:03:43.040,2,NE_OS,1,NorthEast,24.233,1.985,1.101,5,Friday
2018-02-02 17:03:46.080,2,NE_OS,1,NorthEast,21.126,3.441,2.003,5,Friday
2018-02-02 17:03:48.000,2,NE_OS,1,NorthEast,19.884,3.094,1.755,5,Friday
2018-02-02 17:03:49.020,1,NE_NS,1,NorthEast,21.747,5.091,7.285,5,Friday
2018-02-02 17:03:56.090,1,NE_NS,1,NorthEast,27.962,5.64,6.258,5,Friday
2018-02-02 17:03:58.000,1,NE_NS,1,NorthEast,26.718000000000004,2.721,1.764,5,Friday
2018-02-02 17:04:02.020,2,NE_OS,1,NorthEast,30.447,14.2,13.705,5,Friday
2018-02-02 17:04:03.070,1,NE_NS,1,NorthEast,22.369,6.2,4.348,5,Friday
2018-02-02 17:04:07.000,1,NE_NS,1,NorthEast,30.447,3.673,3.88,5,Friday
2018-02-02 17:04:10.020,1,NE_NS,1,NorthEast,31.069000000000003,3.564,2.869,5,Friday
2018-02-02 17:04:15.090,1,NE_NS,1,NorthEast,22.369,7.15,4.383,5,Friday
2018-02-02 17:04:29.050,2,NE_OS,1,NorthEast,33.554,27.3,26.984,5,Friday
2018-02-02 17:04:31.080,2,NE_OS,1,NorthEast,32.31,1.869,0.987,5,Friday
2018-02-02 17:04:32.090,1,NE_NS,1,NorthEast,27.962,17.0,16.57,5,Friday
2018-02-02 17:04:33.090,2,NE_OS,1,NorthEast,31.691,2.506,1.768,5,Friday
2018-02-02 17:04:34.000,2,NE_OS,1,NorthEast,33.554,1.433,0.789,5,Friday
2018-02-02 17:04:34.030,1,NE_NS,1,NorthEast,28.584,2.778,2.016,5,Friday
2018-02-02 17:04:36.000,1,NE_NS,1,NorthEast,26.098000000000003,2.357,1.363,5,Friday
2018-02-02 17:04:41.020,1,NE_NS,1,NorthEast,19.262,7.781,4.831,5,Friday
2018-02-02 17:04:43.070,1,NE_NS,1,NorthEast,21.747,1.903,1.012,5,Friday
2018-02-02 17:04:44.000,1,NE_NS,1,NorthEast,20.506,1.964,0.775,5,Friday
2018-02-02 17:04:46.060,1,NE_NS,1,NorthEast,19.884,2.362,1.12,5,Friday
2018-02-02 17:04:47.010,1,NE_NS,1,NorthEast,18.64,2.4,0.994,5,Friday
2018-02-02 17:04:47.090,2,NE_OS,1,NorthEast,28.584,12.9,12.627,5,Friday
2018-02-02 17:04:49.010,1,NE_NS,1,NorthEast,18.021,2.855,1.364,5,Friday
2018-02-02 17:04:50.030,2,NE_OS,1,NorthEast,25.476,4.39,3.017,5,Friday
2018-02-02 17:04:53.080,1,NE_NS,1,NorthEast,24.855,3.24,3.154,5,Friday
2018-02-02 17:05:04.060,2,NE_OS,1,NorthEast,24.855,13.3,12.887,5,Friday
2018-02-02 17:05:04.080,1,NE_NS,1,NorthEast,17.399,11.0,10.613,5,Friday
2018-02-02 17:05:06.130,1,NE_NS,1,NorthEast,21.126,2.7,,5,Friday
2018-02-02 17:05:15.000,2,NE_OS,1,NorthEast,24.855,,,5,Friday
2018-02-02 17:05:15.090,1,NE_NS,1,NorthEast,20.506,9.436,8.176,5,Friday
2018-02-02 17:05:18.070,1,NE_NS,1,NorthEast,37.903,1.859,2.669,5,Friday
2018-02-02 17:05:22.080,1,NE_NS,1,NorthEast,31.069000000000003,5.472,3.84,5,Friday
2018-02-02 17:05:23.040,2,NE_OS,1,NorthEast,33.554,6.633,8.094,5,Friday
2018-02-02 17:05:26.080,1,NE_NS,1,NorthEast,42.253,3.256,3.676,5,Friday
2018-02-02 17:05:27.090,2,NE_OS,1,NorthEast,31.691,4.059,3.113,5,Friday
2018-02-02 17:05:30.070,1,NE_NS,1,NorthEast,36.039,4.934,3.672,5,Friday
2018-02-02 17:05:32.060,1,NE_NS,1,NorthEast,36.661,2.197,1.627,5,Friday
2018-02-02 17:05:33.060,2,NE_OS,1,NorthEast,31.069000000000003,6.156,5.347,5,Friday
2018-02-02 17:05:44.080,1,NE_NS,1,NorthEast,26.718000000000004,12.2,11.944,5,Friday
2018-02-02 17:05:45.080,2,NE_OS,1,NorthEast,34.798,12.2,11.89,5,Friday
2018-02-02 17:05:47.010,2,NE_OS,1,NorthEast,33.554,2.767,1.966,5,Friday
2018-02-02 17:05:51.070,1,NE_NS,1,NorthEast,24.233,8.123,6.54,5,Friday
2018-02-02 17:05:53.080,1,NE_NS,1,NorthEast,25.476,2.546,1.722,5,Friday
2018-02-02 17:05:56.060,1,NE_NS,1,NorthEast,18.64,4.56,2.44,5,Friday
2018-02-02 17:05:59.000,1,NE_NS,1,NorthEast,25.476,3.073,2.932,5,Friday
2018-02-02 17:06:03.040,1,NE_NS,1,NorthEast,32.31,3.842,3.97,5,Friday
2018-02-02 17:06:08.070,1,NE_NS,1,NorthEast,27.34,5.523,4.037,5,Friday
2018-02-02 17:06:20.030,2,NE_OS,1,NorthEast,33.554,33.2,32.84,5,Friday
2018-02-02 17:06:22.030,2,NE_OS,1,NorthEast,31.691,2.471,1.727,5,Friday
2018-02-02 17:06:24.030,2,NE_OS,1,NorthEast,33.554,2.267,1.718,5,Friday
2018-02-02 17:06:26.010,1,NE_NS,1,NorthEast,34.176,18.4,17.901,5,Friday
2018-02-02 17:06:26.090,2,NE_OS,1,NorthEast,31.691,2.118,1.293,5,Friday
2018-02-02 17:06:27.050,2,NE_OS,1,NorthEast,31.069000000000003,2.088,1.282,5,Friday
2018-02-02 17:06:28.090,1,NE_NS,1,NorthEast,42.875,1.774,1.512,5,Friday
2018-02-02 17:06:30.010,2,NE_OS,1,NorthEast,36.661,2.532,2.298,5,Friday
2018-02-02 17:06:33.050,2,NE_OS,1,NorthEast,34.798,4.018,3.125,5,Friday
2018-02-02 17:06:33.060,1,NE_NS,1,NorthEast,30.447,6.98,4.444,5,Friday
2018-02-02 17:06:35.050,2,NE_OS,1,NorthEast,36.039,2.234,1.73,5,Friday
2018-02-02 17:06:36.040,1,NE_NS,1,NorthEast,31.691,4.024,2.492,5,Friday
2018-02-02 17:06:40.020,2,NE_OS,1,NorthEast,42.875,4.278,4.39,5,Friday
2018-02-02 17:06:41.040,1,NE_NS,1,NorthEast,25.476,6.717,4.718,5,Friday
2018-02-02 17:06:43.010,1,NE_NS,1,NorthEast,26.718000000000004,2.093,1.103,5,Friday
2018-02-02 17:06:46.090,1,NE_NS,1,NorthEast,27.962,3.2,2.49,5,Friday
2018-02-02 17:06:47.040,1,NE_NS,1,NorthEast,27.962,1.96,1.172,5,Friday
2018-02-02 17:06:50.070,1,NE_NS,1,NorthEast,27.34,2.823,1.948,5,Friday
2018-02-02 17:06:51.050,1,NE_NS,1,NorthEast,23.613000000000003,2.747,1.465,5,Friday
2018-02-02 17:06:52.040,2,NE_OS,1,NorthEast,26.098000000000003,12.2,11.96,5,Friday
2018-02-02 17:06:57.010,2,NE_OS,1,NorthEast,23.613000000000003,5.684,4.323,5,Friday
2018-02-02 17:06:59.040,2,NE_OS,1,NorthEast,24.855,2.745,1.883,5,Friday
2018-02-02 17:07:03.000,2,NE_OS,1,NorthEast,16.777,6.2,3.159,5,Friday
2018-02-02 17:07:08.060,2,NE_OS,1,NorthEast,16.155,5.608,3.987,5,Friday
2018-02-02 17:07:11.020,1,NE_NS,1,NorthEast,16.155,19.7,19.283,5,Friday
2018-02-02 17:07:13.040,1,NE_NS,1,NorthEast,14.292,3.443,1.632,5,Friday
2018-02-02 17:07:17.020,2,NE_OS,1,NorthEast,12.428,13.59,8.949,5,Friday
2018-02-02 17:07:21.060,1,NE_NS,1,NorthEast,15.533,7.632,6.057,5,Friday
2018-02-02 17:07:23.060,2,NE_OS,1,NorthEast,22.991,3.551,4.536,5,Friday
2018-02-02 17:07:24.050,1,NE_NS,1,NorthEast,18.021,4.159,3.266,5,Friday
2018-02-02 17:07:25.070,2,NE_OS,1,NorthEast,23.613000000000003,2.605,1.584,5,Friday
2018-02-02 17:07:26.070,1,NE_NS,1,NorthEast,19.884,1.856,0.666,5,Friday
2018-02-02 17:07:27.010,1,NE_NS,1,NorthEast,18.64,2.16,0.928,5,Friday
2018-02-02 17:07:30.040,2,NE_OS,1,NorthEast,28.584,5.165,5.245,5,Friday
2018-02-02 17:07:32.020,1,NE_NS,1,NorthEast,32.31,3.392,4.452,5,Friday
2018-02-02 17:07:35.000,2,NE_OS,1,NorthEast,28.584,5.048,4.224,5,Friday
2018-02-02 17:07:37.060,2,NE_OS,1,NorthEast,28.584,2.113,1.232,5,Friday
2018-02-02 17:07:39.020,1,NE_NS,1,NorthEast,29.205,7.0,6.716,5,Friday
2018-02-02 17:07:41.040,1,NE_NS,1,NorthEast,25.476,3.029,1.825,5,Friday
2018-02-02 17:07:43.020,1,NE_NS,1,NorthEast,24.233,2.446,1.431,5,Friday
2018-02-02 17:07:49.060,1,NE_NS,1,NorthEast,29.205,4.902,4.809,5,Friday
2018-02-02 17:07:50.040,1,NE_NS,1,NorthEast,27.962,2.36,1.509,5,Friday
2018-02-02 17:07:53.080,1,NE_NS,1,NorthEast,26.718000000000004,3.056,2.064,5,Friday
2018-02-02 17:07:53.080,2,NE_OS,1,NorthEast,34.798,16.2,15.801,5,Friday
2018-02-02 17:07:59.030,2,NE_OS,1,NorthEast,39.146,6.5,6.217,5,Friday
2018-02-02 17:08:03.010,2,NE_OS,1,NorthEast,29.205,5.591,3.549,5,Friday
2018-02-02 17:08:05.010,1,NE_NS,1,NorthEast,28.584,12.3,11.89,5,Friday
2018-02-02 17:08:09.030,1,NE_NS,1,NorthEast,21.747,6.171,3.871,5,Friday
2018-02-02 17:08:12.000,1,NE_NS,1,NorthEast,22.369,3.25,2.268,5,Friday
2018-02-02 17:08:20.050,1,NE_NS,1,NorthEast,26.718000000000004,7.66,8.01,5,Friday
2018-02-02 17:08:24.070,1,NE_NS,1,NorthEast,22.369,4.45,2.857,5,Friday
2018-02-02 17:08:26.060,1,NE_NS,1,NorthEast,18.64,3.12,1.48,5,Friday
2018-02-02 17:08:30.010,2,NE_OS,1,NorthEast,31.069000000000003,27.0,26.655,5,Friday
2018-02-02 17:08:30.060,1,NE_NS,1,NorthEast,19.262,4.587,3.412,5,Friday
2018-02-02 17:08:32.010,2,NE_OS,1,NorthEast,34.176,2.16,1.662,5,Friday
2018-02-02 17:08:34.030,2,NE_OS,1,NorthEast,34.798,2.475,1.938,5,Friday
2018-02-02 17:08:36.000,2,NE_OS,1,NorthEast,33.554,2.233,1.411,5,Friday
2018-02-02 17:08:36.080,1,NE_NS,1,NorthEast,19.262,7.2,5.48,5,Friday
2018-02-02 17:08:38.000,1,NE_NS,1,NorthEast,19.884,2.756,1.77,5,Friday
2018-02-02 17:08:40.080,2,NE_OS,1,NorthEast,30.447,4.555,3.52,5,Friday
2018-02-02 17:08:41.050,1,NE_NS,1,NorthEast,17.399,3.793,1.803,5,Friday
2018-02-02 17:08:42.020,1,NE_NS,1,NorthEast,16.777,2.533,1.044,5,Friday
2018-02-02 17:08:44.090,2,NE_OS,1,NorthEast,29.825,4.65,3.74,5,Friday
2018-02-02 17:08:46.060,2,NE_OS,1,NorthEast,32.931999999999995,2.038,1.355,5,Friday
2018-02-02 17:08:47.000,1,NE_NS,1,NorthEast,22.991,4.086,4.12,5,Friday
2018-02-02 17:08:48.010,1,NE_NS,1,NorthEast,21.126,1.853,0.672,5,Friday
2018-02-02 17:08:48.020,2,NE_OS,1,NorthEast,27.34,3.6,2.288,5,Friday
2018-02-02 17:08:52.010,2,NE_OS,1,NorthEast,30.447,3.931,3.556,5,Friday
2018-02-02 17:08:55.050,2,NE_OS,1,NorthEast,29.205,3.983,3.069,5,Friday
2018-02-02 17:08:57.020,2,NE_OS,1,NorthEast,28.584,2.23,1.294,5,Friday
2018-02-02 17:09:00.000,1,NE_NS,1,NorthEast,31.691,11.9,11.773,5,Friday
2018-02-02 17:09:02.050,1,NE_NS,1,NorthEast,28.584,3.287,2.154,5,Friday
2018-02-02 17:09:02.060,2,NE_OS,1,NorthEast,32.31,4.396,4.056,5,Friday
2018-02-02 17:09:05.050,1,NE_NS,1,NorthEast,22.369,4.45,2.671,5,Friday
2018-02-02 17:09:08.060,1,NE_NS,1,NorthEast,34.176,1.767,1.71,5,Friday
2018-02-02 17:09:10.060,2,NE_OS,1,NorthEast,36.039,8.0,7.723,5,Friday
2018-02-02 17:09:13.030,1,NE_NS,1,NorthEast,28.584,7.278,5.405,5,Friday
2018-02-02 17:09:17.060,2,NE_OS,1,NorthEast,35.417,7.0,6.702,5,Friday
2018-02-02 17:09:18.000,1,NE_NS,1,NorthEast,27.34,5.4,4.379,5,Friday
2018-02-02 17:09:19.070,2,NE_OS,1,NorthEast,34.176,2.52,1.822,5,Friday
2018-02-02 17:09:21.080,2,NE_OS,1,NorthEast,31.069000000000003,2.664,1.825,5,Friday
2018-02-02 17:09:22.010,2,NE_OS,1,NorthEast,30.447,1.653,0.983,5,Friday
2018-02-02 17:09:24.090,2,NE_OS,1,NorthEast,23.613000000000003,2.889,1.447,5,Friday
2018-02-02 17:09:28.020,2,NE_OS,1,NorthEast,31.691,3.6,3.893,5,Friday
2018-02-02 17:09:28.030,1,NE_NS,1,NorthEast,22.369,10.3,9.94,5,Friday
2018-02-02 17:09:29.050,2,NE_OS,1,NorthEast,28.584,1.878,1.004,5,Friday
2018-02-02 17:09:30.060,1,NE_NS,1,NorthEast,22.369,1.95,,5,Friday
2018-02-02 17:09:32.000,2,NE_OS,1,NorthEast,29.205,2.911,2.163,5,Friday
2018-02-02 17:09:32.010,1,NE_NS,1,NorthEast,19.884,3.6,2.0,5,Friday
2018-02-02 17:09:35.000,1,NE_NS,1,NorthEast,14.914,4.8,2.214,5,Friday
2018-02-02 17:09:35.060,2,NE_OS,1,NorthEast,28.584,3.13,2.263,5,Friday
2018-02-02 17:09:36.090,2,NE_OS,1,NorthEast,25.476,2.02,0.885,5,Friday
2018-02-02 17:09:47.010,2,NE_OS,1,NorthEast,31.691,11.2,10.831,5,Friday
2018-02-02 17:09:52.070,1,NE_NS,1,NorthEast,9.321,16.7,16.04,5,Friday
2018-02-02 17:09:55.070,2,NE_OS,1,NorthEast,36.039,7.6,7.141,5,Friday
2018-02-02 17:10:04.090,1,NE_NS,1,NorthEast,11.807,14.684,11.672,5,Friday
2018-02-02 17:10:07.150,1,NE_NS,1,NorthEast,14.292,3.209,,5,Friday
2018-02-02 17:10:09.090,1,NE_NS,1,NorthEast,15.533,12.096,1.727,5,Friday
2018-02-02 17:10:11.040,2,NE_OS,1,NorthEast,33.554,,,5,Friday
2018-02-02 17:10:12.000,1,NE_NS,1,NorthEast,14.914,4.35,2.481,5,Friday
2018-02-02 17:10:15.030,1,NE_NS,1,NorthEast,13.048,5.057,2.58,5,Friday
2018-02-02 17:10:18.050,2,NE_OS,1,NorthEast,38.525,5.661,5.78,5,Friday
2018-02-02 17:10:20.030,1,NE_NS,1,NorthEast,13.67,5.891,4.177,5,Friday
2018-02-02 17:10:23.010,2,NE_OS,1,NorthEast,32.931999999999995,5.6,5.31,5,Friday
2018-02-02 17:10:25.030,2,NE_OS,1,NorthEast,32.931999999999995,2.581,1.874,5,Friday
2018-02-02 17:10:26.050,1,NE_NS,1,NorthEast,6.836,14.891,5.48,5,Friday
2018-02-02 17:10:30.070,1,NE_NS,1,NorthEast,9.321,4.32,0.68,5,Friday
2018-02-02 17:10:30.080,2,NE_OS,1,NorthEast,20.506,7.909,4.201,5,Friday
2018-02-02 17:10:32.060,2,NE_OS,1,NorthEast,23.613000000000003,1.942,1.669,5,Friday
2018-02-02 17:10:33.030,1,NE_NS,1,NorthEast,5.5920000000000005,9.2,2.424,5,Friday
2018-02-02 17:10:34.060,2,NE_OS,1,NorthEast,24.855,2.43,1.545,5,Friday
2018-02-02 17:10:37.050,2,NE_OS,1,NorthEast,26.098000000000003,3.214,2.486,5,Friday
2018-02-02 17:10:37.070,1,NE_NS,1,NorthEast,9.941,3.15,2.0,5,Friday
2018-02-02 17:10:39.040,2,NE_OS,1,NorthEast,22.991,3.892,2.523,5,Friday
2018-02-02 17:10:42.060,2,NE_OS,1,NorthEast,21.126,2.965,1.733,5,Friday
2018-02-02 17:10:44.010,1,NE_NS,1,NorthEast,9.321,9.6,6.455,5,Friday
2018-02-02 17:10:46.070,2,NE_OS,1,NorthEast,17.399,5.657,3.666,5,Friday
2018-02-02 17:10:49.080,2,NE_OS,1,NorthEast,15.533,4.32,2.56,5,Friday
2018-02-02 17:10:55.090,2,NE_OS,1,NorthEast,13.048,8.486,5.351,5,Friday
2018-02-02 17:11:04.020,1,NE_NS,1,NorthEast,4.349,49.886,17.124,5,Friday
2018-02-02 17:11:06.050,2,NE_OS,1,NorthEast,22.369,7.45,10.691,5,Friday
2018-02-02 17:11:17.050,2,NE_OS,1,NorthEast,33.554,10.0,9.56,5,Friday
2018-02-02 17:11:19.030,2,NE_OS,1,NorthEast,34.176,3.24,2.493,5,Friday
2018-02-02 17:11:22.080,1,NE_NS,1,NorthEast,2.485,32.4,15.645,5,Friday
2018-02-02 17:11:25.040,1,NE_NS,1,NorthEast,8.078,1.938,0.36,5,Friday
2018-02-02 17:11:26.040,2,NE_OS,1,NorthEast,29.825,7.1,6.805,5,Friday
2018-02-02 17:11:30.050,1,NE_NS,1,NorthEast,7.456,5.1,3.937,5,Friday
2018-02-02 17:11:30.070,2,NE_OS,1,NorthEast,29.205,3.83,2.94,5,Friday
2018-02-02 17:11:31.020,2,NE_OS,1,NorthEast,27.34,2.045,1.117,5,Friday
2018-02-02 17:11:36.050,1,NE_NS,1,NorthEast,13.67,4.009,3.02,5,Friday
2018-02-02 17:11:37.010,2,NE_OS,1,NorthEast,28.584,6.104,5.556,5,Friday
2018-02-02 17:11:37.040,1,NE_NS,1,NorthEast,16.777,2.4,1.278,5,Friday
2018-02-02 17:11:40.010,1,NE_NS,1,NorthEast,13.048,4.457,2.193,5,Friday
